Venue1_Id,Venue2_Id,Venue1_Name,Venue2_Name,Venue1_StreetAddress,Venue2_StreetAddress,Similarity
970,1047,Atlanta Recreation club,ATLANTA RECREATION CLUB,"2711 Pine Grove Rd, Cumming",2711 Pine Grove Rd,0.875
991,1458,Bellevue Badminton Club -- Renton,Bellevue Badminton Club - Renton,846 Lind Ave SW,846 Lind Ave SW SW,1.0
996,1014,Smashville MainLine,Smashville Mainline,250 King manor Dr.,250 King Manor Dr,1.0
999,1235,"BNSC Indoor Hall,Lobatse Sports Complex",Lobatse sports complex indoor hall,Lobatse Sports Complex P.O.Box 1404 Gaborone,BNSC c/o P.O.Box 1404 Gaborone,0.9166666666666666
1006,1047,Atlanta Recreation Club,ATLANTA RECREATION CLUB,2711 Pine Grove Rd,2711 Pine Grove Rd,1.0
1008,1143,Santa Fe Springs Badminton Club,Santa Fe Springs Badminton CLub,11323 Shoemaker Ave,"11323 SHoemaker Ave.,",1.0
1016,1105,EGRET Badminton Club,Egret Badminton,1251 Basswood Rd,1251 Basswood Rd.,0.8333333333333334
1023,1056,Polideportivo Municipal de Arroyo de la Miel,Polideportivo Municipal Arroyo de la Miel,Calle Orujo,Calle Orujo 2,0.8888888888888888
1041,1092,Sportove centrum M-Sport Trencin,Sportove centrum M-sport Trencin,Ostrov 363,Ostrov 363,1.0
1041,1209,Sportove centrum M-Sport Trencin,Sportove Centrum M-sport Trencin,Ostrov 363,Ostrov 363,1.0
1056,1255,Polideportivo Municipal Arroyo de la Miel,Polideportivo Arroyo de la Miel,Calle Orujo 2,Calle Orujo 2,0.8888888888888888
1062,1087,Midwest Badminton Woodridge,Midwest Badminton Club - Woodridge,8202 Lemont Road,8202 Lemont Road,0.8571428571428571
1065,1136,Triangle Badminton and Table Tennis,Triangle Badminton & Table Tennis,"2900 Perimeter Park Dr, Suite# 200","2900 Perimeter Park Dr, #200",0.8181818181818182
1067,1138,New Jersey Badminton Club,New Jersey Badminton CLub,2 Changebridge Rd,2 Changebridge Rd,1.0
1077,1191,Burnsville High School (enter via Door 1),Burnsville High School Gym (enter via Door 1),600 State Hwy 13,600 State Hwy 13,0.9166666666666666
1085,1147,Täby Racketcenter,Täby RacketCenter,Flyghamnsvägen 16,Flyghamnsvägen 16,1.0
1092,1209,Sportove centrum M-sport Trencin,Sportove Centrum M-sport Trencin,Ostrov 363,Ostrov 363,1.0
1094,1342,Club 28 Badminton,Club 28 badminton Philadelphia,3569 Edgemont st.,3569 Edgemont St.,0.8571428571428571
1097,1433,Gospino Polje hall,Gospino Polje Hall,Liechtensteinov put 10,Liechtensteinov put 10,1.0
1102,1371,Langeskov Hallerne,Langeskov hallerne,Børmosevej 3,Børmosevej 3,1.0
1106,1455,Elite Badminton Center,ELITE BADMINTON CENTER,33540 Central Ave,33540 CENTER AVE,0.8333333333333334
1120,1211,LONG ISLAND BADMINTON CENTER,Long Island Badminton Center,575 MERRICK AVE.,575 Merrick Ave,1.0
1132,1388,SPARC Arena NOVI,SPARC Arena,42775 9 Mile Rd,42775 9 mile rd,0.8571428571428571
1148,1388,SPARC,SPARC Arena,42775 9 Mile Rd,42775 9 mile rd,0.8333333333333334
1167,1305,Sport Hall Svilengrad,"Sport Hall ""Svilengrad""",Nencho Hristov Str.,Nencho Hristov str.,1.0
1182,1330,Gymnase Hand bad CREPS,Gymnase Hand-bad CREPS,653 avenue de la libération,653 avenue de la libération,1.0
1187,1194,Club28 badminton,Club28 badminton Philadelphia,3569 Edgemont st,3569 Edgemont st.,0.8333333333333334
1204,1354,SD Sutinska Vrela Zagreb,SD Sutinska vrela,Podsusedski trg 14b,Podsusedski trg 14B,0.8571428571428571
1225,1389,Chicago Badminton Academy,chicago badminton academy,570A Telser Rd,570A Telser Rd,1.0
1230,1385,OYDC ZAMBIA - SPORTS DEVELOPMENT CENTRE,OYDC Zambia - Sports Development Centre,GREAT NORTH ROAD,Great North Road,1.0
1231,1329,NETS & TURF,Nets and turf,2711 Pine Grove Rd,2711 Pine grove rd,0.8571428571428571
1231,1387,NETS & TURF,Nets & Turf Arena,2711 Pine Grove Rd,2711 Pine grove rd,0.8571428571428571
1234,1351,The India Club Bahrain,India Club Bahrain,"The India Club Bahrain Road No. 825, Zubara Avenue,","India Club Bahrain Road No. 825, Zubara Avenue,",0.8888888888888888
1242,1294,Nets and Turf,Nets & Turf,2711 Pine grove road,2711 Pine grove road,0.8571428571428571
1249,1400,A. Le Coq Sports Hall,A le Coq Sports hall,Ihaste tee 7,Ihaste tee 7,1.0
1274,1368,MBC @ NAPERVILLE,MBC Naperville,2019 Corporate Ln STE 103,2019 Corporate Ln STE 103,1.0
1274,1404,MBC @ NAPERVILLE,MBC,2019 Corporate Ln STE 103,2019 Corporate Ln STE 103,0.8571428571428571
1308,1456,Salle metropolitaine de la Trocardière,Salle Metropolitaine de la Trocardière,91 Rue de la Trocardière,91 Rue de la Trocardière,1.0
1309,1404,MBC NP,MBC,2019 Corporate Ln STE 103,2019 Corporate Ln STE 103,0.8571428571428571
1324,1429,The Farm (TBC),The Farm,2660 Vickers Drive,2660 Vickers Drive,0.8333333333333334
1325,1463,Champ Fleuri Gymnasium,Gymnasium Champ Fleuri,8 rue Christol de Sigoyer,8 rue Christol de Sigoyer,1.0
1342,1390,Club 28 badminton Philadelphia,Club 28 Philadelphia,3569 Edgemont St.,3569 Edgemont st,0.8571428571428571
1368,1404,MBC Naperville,MBC,2019 Corporate Ln STE 103,2019 Corporate Ln STE 103,0.8571428571428571
1384,1413,Ramsey Student Center; Gym East,Ramsey Student Center - Gym East,330 River Rd.,330 River Rd,1.0
