Venue1_Id,Venue2_Id,Venue1_Name,Venue2_Name,Venue1_StreetAddress,Venue2_StreetAddress,Similarity
207,998,Cricket Club of India (Mumbai),"Cricket Club of India, Mumbai (CCI)",Brabourne Stadium Dinshaw Vachha Road Churchgate,"Brabourne Stadium, Dinshaw Vachha Road, Churchgate,",0.9166666666666666
208,407,Falconer Salen,Falkoner salen,Falkoner Alle 9,Falkoner alle 9,0.8
217,509,Wiener Stadthalle,Wiener Stadthalle B,Vogelweidplatz 14,Vogelweidplatz 14,0.8
227,424,Palais des sports,Palais des Sports,rue Eugene vignat,Rue Eugene Vignat,1.0
229,749,Energia Areena,Vantaan Energia Areena,Rajatorpantie 23,Rajatorpantie 23,0.8
229,1437,Energia Areena,Vantaa Energia Areena,Rajatorpantie 23,Rajatorpantie 23,0.8
238,253,San Gabriel Valley Badminton Club #2,San Gabriel Valley Badminton Club II: Pomona,3410 Pomona Blvd,3410 Pomona Blvd,0.8
238,339,San Gabriel Valley Badminton Club #2,San Gabriel Valley Badminton Club 2,3410 Pomona Blvd,3410 Pomona Blvd,1.0
238,650,San Gabriel Valley Badminton Club #2,San Gabriel Valley Badminton Club 2: Pomona,3410 Pomona Blvd,3410 Pomona Blvd,1.0
238,700,San Gabriel Valley Badminton Club #2,San Gabriel Valley Badminton Club (SGVBC),3410 Pomona Blvd,3410 Pomona Blvd,0.8
238,897,San Gabriel Valley Badminton Club #2,San Gabriel Valley Badminton Club - Pomona,3410 Pomona Blvd,3410 Pomona Blvd,0.8888888888888888
240,352,Sport Hall Medvode,Sport Hall medvode,Ostrovrharjeva 4,Ostrovrharjeva 4,1.0
240,1116,Sport Hall Medvode,Sport hall Medvode,Ostrovrharjeva 4,Ostrovrharjeva 4,1.0
242,561,Estero Community Park,Estero Community Park Recreation Center,Recreation Center 9200 Corkscrew Palms Blvd,9200 Corkscrew Palms Blvd,1.0
244,538,"Polideportivo Municipal ""Marques de Samaranch""",Polideportivo Marques de Samaranch,Paseo Imperial 18,Paseo Imperial 18,0.875
247,438,Kaunas Sports HAll,Kaunas Sports Hall,Perkuno al. 5,Perkuno al. 5,1.0
248,447,ISTORA GELORA BUNG KARNO STADIUM,Istora – Gelora Bung Karno,Senayan,Senayan,0.8333333333333334
248,528,ISTORA GELORA BUNG KARNO STADIUM,Istora Gelora Bung Karno Stadium,Senayan,Senayan,1.0
253,339,San Gabriel Valley Badminton Club II: Pomona,San Gabriel Valley Badminton Club 2,3410 Pomona Blvd,3410 Pomona Blvd,0.8
253,650,San Gabriel Valley Badminton Club II: Pomona,San Gabriel Valley Badminton Club 2: Pomona,3410 Pomona Blvd,3410 Pomona Blvd,0.8
253,700,San Gabriel Valley Badminton Club II: Pomona,San Gabriel Valley Badminton Club (SGVBC),3410 Pomona Blvd,3410 Pomona Blvd,0.8
253,897,San Gabriel Valley Badminton Club II: Pomona,San Gabriel Valley Badminton Club - Pomona,3410 Pomona Blvd,3410 Pomona Blvd,0.8888888888888888
259,1200,"Orange County Badminton Club,",Orange County Badminton Club (OCBC),1432 N. Main St.,1432 N Main St,0.8888888888888888
267,663,California Badminton Academy (CBA),CBA Badminton Academy,46049 Warm Springs Blvd,46049 Warm Springs Blvd,0.875
273,542,ClearOne Badminton Centre - Orlando,ClearOne Orlando Badminton Centre,4141 North John Young Parkway,4141 N. John Young Parkway,0.8
274,453,P. E. Society's Modern PDMBA Sports Complex,P.E. Society's Modern PDMBA Sports Complex,Modern High School Premises,Modern High School Premises,1.0
275,555,Coliseo Deportivo,coliseo deportivo,Ciudad de los Deportes zona 4,coliseo deportivo ciudad de los deportes zona 4,1.0
275,1086,Coliseo Deportivo,COLISEO DEPORTIVO DE BADMINTON,Ciudad de los Deportes zona 4,COLISEO DEPORTIVO CIUDAD DE LOS DEPORTES ZONA 4.,0.8888888888888888
292,474,Centre Sportif,Centre Sportif des Isles,Avenue des trois lacs 1,Avenue des Trois Lacs 1,0.875
294,540,Kibbutz Hatzor Sport Hall,Hatzor Sport Hall,Kibbutz Hatzor,Kibbutz Hatzor Ashdod,0.8
294,581,Kibbutz Hatzor Sport Hall,Kibbutz Hatzor sport hall,Kibbutz Hatzor,Kibbutz Hatzor,1.0
294,984,Kibbutz Hatzor Sport Hall,Hatzor sport hall,Kibbutz Hatzor,Kibbutz Hatzor-Ashdod,0.8
295,973,Eastbay Badminton Association,EastBay Badminton Association,4230 Hubbard Street,4230 Hubbard Street,1.0
301,304,Jeonju indoor Badminton Court,Jeonju Indoor Badminton Court,"1st street, dukjin-gu Jeollabukdo, Korea",1st Street dukjin-gu,0.8
