Venue1_Id,Venue2_Id,Venue_Name1,Venue_Name2,Similarity
128,1292,San Gabriel Valley Badminton Club 1,San Gabrile Valley Badminton Club,0.9
134,259,Orange County Badminton CLub,"Orange County Badminton Club,",0.9615384615384616
134,1200,Orange County Badminton CLub,Orange County Badminton Club (OCBC),0.8064516129032258
136,230,University of Central Oklahoma- Wellness Center,University of Central Oklahoma - Wellness Center,1.0
137,340,Siri Fort Indoor Stadium,"Siri Fort Indoor Stadium,",0.9545454545454546
144,200,Badminton Center Court,Badminton Center Court Inc.,0.8333333333333334
144,236,Badminton Center Court,Badminton Center Court (BCC),0.8
144,920,Badminton Center Court,BADMINTON CENTER COURT,1.0
145,218,LUGOGO INDOOR STADIUM,Lugogo Indoor Stadium,1.0
148,959,International Badminton Center,International Badminton Club,0.8214285714285714
148,1286,International Badminton Center,INTERNATIONAL BADMINTON CENTER EDISON,0.8235294117647058
150,263,Richmond Olympic Oval,"Richmond Olympic Oval,",0.95
160,274,P. E. Society’s Modern PDMBA Sports Complex,P. E. Society's Modern PDMBA Sports Complex,0.972972972972973
160,453,P. E. Society’s Modern PDMBA Sports Complex,P.E. Society's Modern PDMBA Sports Complex,0.972972972972973
161,271,Sportova hala PU Presov,Športová hala PU Prešov,0.85
162,238,San Gabriel Valley Badminton 2,San Gabriel Valley Badminton Club #2,0.8064516129032258
162,339,San Gabriel Valley Badminton 2,San Gabriel Valley Badminton Club 2,0.8333333333333334
162,506,San Gabriel Valley Badminton 2,San Gabriel Valley Badminton Court,0.8333333333333334
172,478,Club Athlético Paulistano,Club Athletico Paulistano,0.9565217391304348
173,704,City Sports Hall Vodova,City Sports Hall Orlova,0.85
173,994,City Sports Hall Vodova,City Sports Hall Orlová,0.8
174,1022,Richmond Pro Badminton Centre,RichmondPro Badminton Centre,1.0
178,287,"Topsportcentrum Almere,",Topsportcentrum Almere,0.9545454545454546
180,470,Gentofte Badminton Klub,Gentofte Badminton Hall,0.8095238095238095
180,801,Gentofte Badminton Klub,Gentofte Badminton hal,0.8095238095238095
180,956,Gentofte Badminton Klub,Gentofte Badminton Club,0.9523809523809523
180,1079,Gentofte Badminton Klub,Gentofte Badmintonklub,1.0
186,389,STADE PIERRE DE COUBERTIN,Stade Pierre de Coubertin,1.0
188,214,Arcadia Badminton Club,Arcadia Badminton Court,0.8571428571428571
188,216,Arcadia Badminton Club,Arcadia Badminton Clun,0.95
188,657,Arcadia Badminton Club,Atlanta Badminton Club,0.8
190,298,Saarlandhalle,SAARLANDHALLE,1.0
192,843,Budaörs Sportshall,Budaors Sportshall,0.9411764705882353
193,323,TBR - Badminton Hall,TBR – Badminton Hall,0.9411764705882353
195,578,City Sporthall Orlová,City Sport Hall Orlova,0.9473684210526315
195,851,City Sporthall Orlová,City Sporthall Orlova,0.9473684210526315
197,306,Emirates Arena,"Emirates Arena,",0.9285714285714286
199,1239,Sport Wales National Centre,SPORT WALES NATIONAL CENTRE,1.0
200,236,Badminton Center Court Inc.,Badminton Center Court (BCC),0.84
200,920,Badminton Center Court Inc.,BADMINTON CENTER COURT,0.8333333333333334
205,293,MTN Arena,MTN ARENA,1.0
207,312,Cricket Club of India (Mumbai),"Cricket Club of India, Mumbai",0.9230769230769231
207,998,Cricket Club of India (Mumbai),"Cricket Club of India, Mumbai (CCI)",0.8
208,407,Falconer Salen,Falkoner salen,0.9230769230769231
211,320,School of Public Health UMD,School of Public Health,0.8695652173913043
214,216,Arcadia Badminton Court,Arcadia Badminton Clun,0.8571428571428571
217,509,Wiener Stadthalle,Wiener Stadthalle B,0.9411764705882353
225,514,Sport hal 'Arena Ursynow',Sport Hall Arena Ursynow,0.9090909090909091
227,424,Palais des sports,Palais des Sports,1.0
227,993,Palais des sports,Palais des Soprts,0.8666666666666667
233,742,Dom Sportova,DOM SPORTOVA,1.0
233,1208,Dom Sportova,Dom sportova,1.0
235,1276,VELO-hal,VELO-hall,0.8888888888888888
236,920,Badminton Center Court (BCC),BADMINTON CENTER COURT,0.8
238,339,San Gabriel Valley Badminton Club #2,San Gabriel Valley Badminton Club 2,0.9354838709677419
238,506,San Gabriel Valley Badminton Club #2,San Gabriel Valley Badminton Court,0.8709677419354839
238,700,San Gabriel Valley Badminton Club #2,San Gabriel Valley Badminton Club (SGVBC),0.8055555555555556
238,897,San Gabriel Valley Badminton Club #2,San Gabriel Valley Badminton Club - Pomona,0.8055555555555556
238,1292,San Gabriel Valley Badminton Club #2,San Gabrile Valley Badminton Club,0.8709677419354839
240,352,Sport Hall Medvode,Sport Hall medvode,1.0
240,526,Sport Hall Medvode,Sporthall Medvode,1.0
240,1116,Sport Hall Medvode,Sport hall Medvode,1.0
244,926,"Polideportivo Municipal ""Marques de Samaranch""",Polideportivo Municipal 'Marqués de Samarach',0.8571428571428571
247,438,Kaunas Sports HAll,Kaunas Sports Hall,1.0
248,528,ISTORA GELORA BUNG KARNO STADIUM,Istora Gelora Bung Karno Stadium,1.0
258,944,Polideportivo,Polideportivo 3,0.9285714285714286
258,1320,Polideportivo,Polideportivo 1,0.9285714285714286
259,1200,"Orange County Badminton Club,",Orange County Badminton Club (OCBC),0.8064516129032258
264,537,Cleveland Convention Center,Cleveland Convention Center Hall A,0.8333333333333334
270,791,"SC"" Meteor""",SC “ Meteor”,0.8
274,453,P. E. Society's Modern PDMBA Sports Complex,P.E. Society's Modern PDMBA Sports Complex,1.0
275,555,Coliseo Deportivo,coliseo deportivo,1.0
