Tournament1,Tournament2,SharedPlayers
XXIII Pan Am individual Championships 2019,Pan Am Games LIMA2019,61
XXIII Pan Am individual Championships 2019,XXV Pan Am Individual Championships 2022,50
XXIII Pan Am individual Championships 2019,IX International Mexicano 2018,49
XXIII Pan Am individual Championships 2019,XXI Pan American Championships 2017,46
XXIII Pan Am individual Championships 2019,Perú International 2019,46
XXIII Pan Am individual Championships 2019,34th Brazil International Challenge 2019,43
XXIII Pan Am individual Championships 2019,Perú International 2018,39
XXIII Pan Am individual Championships 2019,V Jamaica International 2019,36
XXIII Pan Am individual Championships 2019,XXII Peru International Challenge 2017,30
XXIII Pan Am individual Championships 2019,XX Giraldilla 2019,19
YONEX-SUNRISE Hong Kong Open 2018,Fuzhou China Open 2018,175
YONEX-SUNRISE Hong Kong Open 2018,TOTAL BWF World Championships 2018,161
YONEX-SUNRISE Hong Kong Open 2018,CROWN GROUP Australian Open 2019,146
YONEX-SUNRISE Hong Kong Open 2018,VICTOR Korea Open 2018,130
GWANGJU Korea Masters 2018,Gwangju VICTOR Korea Masters 2017,87
LABC Badminton Bash,SGVBC Summer Smash 2010,76
Kalayaan Cup,ACES SHUTTLES KALAYAAN CUP 2013,55
Kalayaan Cup,Merdeka Cup,42
Kalayaan Cup,"Smash for Japan $3,500 Prizes",35
Kalayaan Cup,COACH Badminton Classic,28
Kalayaan Cup,Men in Skirts,27
CROWN GROUP Australian Open 2018,BARFOOT & THOMPSON New Zealand Open 2018,135
2018 YONEX US Open,2018 YONEX Canada Open,132
2018 YONEX US Open,Singapore Open 2018,74
Dave Freeman Open 2012,Li-Ning Kason Dave Freeman Open 2013,48
Dave Freeman Open 2012,Dave Freeman Open 2011,29
2010 Yonex OCBC U.S. Open Grand Prix Gold Badminton Championships,USAB 2011 Pan Am Games Trials,16
VICTOR Korea Open 2018,Badminton Asia Youth U17 & U15 Championships 2012,17
13th World University Badminton Championship-Individual Event,BWF World Junior Championships 2012 for EYE - Level Cups,13
2014 adidas Boston Open,2013 Wilson MIT Boston Open,79
2014 adidas Boston Open,2015 Boston Open,77
2014 adidas Boston Open,2014 USA Badminton Adult Nationals Championships,44
2014 adidas Boston Open,2014 Bay State Games,38
2014 adidas Boston Open,2016 USA Badminton National Championships,14
2015 USA Badminton/Yonex Collegiate Nationals,2015 MSJ Key Club's 8th Annual Charity Badminton Tournament (CBT),27
2015 USA Badminton/Yonex Collegiate Nationals,South Zone Badminton Doubles 24,1
2015 Boston Open,2016 Yonex Boston Open,68
YONEX Swiss Open 2018,Bitburger Badminton Open 2017,84
Barcelona Spain Masters 2020,YONEX Swiss Open 2021 (New Dates),92
2011 MBBC Junior International,2010 MBBC Jr International,12
VI Jamaica International 2020,V Jamaica International 2019,29
VI Jamaica International 2020,XIII Suriname International 2019,13
VI Jamaica International 2020,All Jamaica Junior 2015,7
South Australia International 2019,Sydney International 2019,118
South Australia International 2019,Perth International 2019,53
TotalEnergies BWF World Championships 2022,TotalEnergies BWF World Championships 2023,243
TotalEnergies BWF World Championships 2022,TotalEnergies BWF World Championships 2021,208
TotalEnergies BWF World Championships 2022,DAIHATSU YONEX Japan Open 2022,206
TotalEnergies BWF World Championships 2022,YONEX French Open 2022,191
TotalEnergies BWF World Championships 2022,EAST VENTURES Indonesia Open 2022,186
TotalEnergies BWF World Championships 2022,PETRONAS Malaysia Open 2022,183
TotalEnergies BWF World Championships 2022,YONEX All England Open Badminton Championships 2022,164
TotalEnergies BWF World Championships 2022,GR TOYOTA GAZOO RACING Thailand Open 2022,159
TotalEnergies BWF World Championships 2022,HYLO Open 2022,144
XXII Pan Am Individual Championships 2018,GUATEMALA FUTURE SERIES 2017,33
