Tournament1,Tournament2,SharedPlayers
North Carolina Collegiate Badminton Open,Raleigh Smash 2024,74
North Carolina Collegiate Badminton Open,2023 Duke Open,69
North Carolina Collegiate Badminton Open,2022 TBC Open,64
2022 BodyArmor Badminton State Tournament,2021 TBC YONEX CUP,72
2022 BodyArmor Badminton State Tournament,2022 NVBC Open,65
2022 BodyArmor Badminton State Tournament,Al Shiem Cup Greensboro Open 2022,44
2022 BodyArmor Badminton State Tournament,2022 Vitality Cup Chinese Collegiate Badminton Tournament sponsored by Chinese Embassy,27
2021 Yonex Cup,2021 BodyArmor Badminton State Tournament,85
2021 Yonex Cup,2021 TBC YONEX CUP,63
2013 Charlotte Open,2010 Charlotte Open,19
2013 Charlotte Open,2014 Charlotte Open,16
2010 NC Open,2010 Charlotte Open,33
2015 FZ FORZA OPEN,FZ FORZA OPEN 2016 NC,45
2015 FZ FORZA OPEN,2015 PAANC 2nd ANNUAL CHARITY BADMINTON TOURNAMENT!,21
FZ FORZA OPEN 2019 $12.000,BNC OPEN 2019,101
FZ FORZA OPEN 2019 $12.000,2020 TBC OPEN,76
FZ FORZA OPEN 2019 $12.000,2019 Charlotte Open,67
FZ FORZA OPEN 2019 $12.000,2021 BodyArmor Badminton State Tournament,59
FZ FORZA OPEN 2019 $12.000,ABO 2019,52
FZ FORZA OPEN 2019 $12.000,BNC Club Championship,36
2023 Charlotte Badminton Open,Al Shiem Cup - Greensboro Open 2023,64
2023 Charlotte Badminton Open,GBC OPEN 2023,38
2023 Charlotte Badminton Open,2024 Club7 Local Tournament,33
2011 Charlotte Open,2010 Charlotte Open,26
Al Shiem Cup - Greensboro Open 2023,2023 Duke Open,60
Al Shiem Cup - Greensboro Open 2023,1-Day Tournament,56
Al Shiem Cup - Greensboro Open 2023,UNCC GBC 2023,25
2022 NVBC Open,2021 Yonex Open NVBC,76
2022 NVBC Open,ROYAL BADMINTON/SKY CREEK 2ND ANNUAL OPEN TOURNAMENT 2023,74
2022 NVBC Open,Royal Badminton Academy's 1st Annual AMPCUS Open Tournament,70
2022 NVBC Open,"2023 NVBC OPEN C - D DIVISION,JR U11-U17 & SENIORS",70
Harold Seavey Masters 2017,MassBad 2017 Harold Seavey Northeast Masters,11
Badminton NC Open 2015 $2500,2015 SNP Open,54
2018 ClearOne Southern Open,UCF Fall 2019 Tournament,15
2018 ClearOne Southern Open,2018 ClearOne AAU National Badminton Championships,10
2015 SNP Open,2016 SNP OPEN,46
2015 SNP Open,The Al Shiem Cup Greensboro Open 2015,28
2015 SNP Open,2012 Bond Park Fun Tournament,9
2018 Evergreen Open at NVBC,2019 Evergreen Open at NVBC,43
2018 Evergreen Open at NVBC,2017 Evergreen Open at NVBC,37
2018 Evergreen Open at NVBC,2018 UMD Winter Open,19
FZ FORZA OPEN 2017,BNC OPEN 2018,77
FZ FORZA OPEN 2017,2017 Charlotte Open,67
FZ FORZA OPEN 2017,FZ FORZA OPEN 2016 NC,48
2015 Bay State Games,2016 Bay State Games,58
2015 Bay State Games,MassBad Nepal Fundraising Doubles Open Badminton Tournament,23
2015 Bay State Games,2019-20 Harold Seavey Masters,9
2012 YONEX CPBC New York City Championships,2015 Spring Challenge in NYC,15
2016 Charlotte Open,2017 Charlotte Open,52
2016 Charlotte Open,2016 CLT Jingle Smash,31
2016 Charlotte Open,Charlotte Open 2015,30
2018 Harold Seavey Masters,2019-20 Harold Seavey Masters,9
2018 Bay State Games,2019 Bay State Games,57
2018 Bay State Games,2017 Bay State Games,53
2018 Bay State Games,2018 New England Junior Open,39
2017 Amegy Bank Houston Open,2016 Amegy Bank Houston Open,71
2017 Amegy Bank Houston Open,2019 Amegy Bank Houston Open,64
2017 Amegy Bank Houston Open,2017 Yonex Frisco Open,48
GREATER AUSTIN badminton Open 2020,2018 Skylar Sun Sports Greater Austin Badminton Open,25
2018 Puccini Texas Championship,2017 Yonex Frisco Open,54
2016 Amegy Bank Houston Open,2015 Amegy Bank Houston Open,76
2016 Amegy Bank Houston Open,2016 Puccini Texas Championship,48
2016 Amegy Bank Houston Open,2015 Lone Star Youth tournament,14
2023 Keeper Houston Open,2023 Schafer Badminton Tournament,68
2023 Keeper Houston Open,2022 Houston Yonex Cup,68
2014 Puccini Texas Classic Championship,2013 ACES Shuttles and Puccini Texas Championship,59
2014 Puccini Texas Classic Championship,2015 Puccini Texas Championship,52
2014 Puccini Texas Classic Championship,2014 DBC Summer Bash,48
2014 Imprint Houston Open Tournament,2015 Amegy Bank Houston Open,74
2014 Imprint Houston Open Tournament,2013 Yonex Houston Open,56
2014 Imprint Houston Open Tournament,2015 Yonex Greater Austin Badminton Open,37
2018 Skylar Sun Sports Greater Austin Badminton Open,2017 Skylar Sun Sports Greater Austin Open,42
2018 Skylar Sun Sports Greater Austin Badminton Open,Skylar Sun Sports GREATER AUSTIN badminton Open 2019,33
2017 Skylar Sun Sports Greater Austin Open,2016 Yonex Greater Austin Badminton Open,41
2023 Austin Open,"2024 Yonex Frisco Open (for B, Members Only, Senior Events)",83
2013 Yonex BCCC Open,2012 Yonex BCCC Open,40
2010 Yonex Houston Open Tournament,2011 Yonex Houston Open,49
2012 Yonex BCCC Open,2011 BCCC Open,35
2016 Yonex Greater Austin Badminton Open,2015 Yonex Greater Austin Badminton Open,46
2017 Yonex Frisco Open,2017 Puccini Texas Championship,54
2017 Yonex Frisco Open,2018 Yonex Frisco Open,53
2017 Yonex Frisco Open,2018 Yonex PBC Spring Challenge,42
BCCC Open 2010,2011 BCCC Open,43
2015 Puccini Texas Championship,2015 DBC Summer Bash,49
2015 Puccini Texas Championship,2015 Yonex PBC Spring Challenge,31
2015 Puccini Texas Championship,2015 Yonex PBC Fall Challenge,30
17th Asian Games 2014,Dong Feng Citroen Badminton Asia Championships 2015,46
KOREA SUPER SERIES 2010,SWISS SUPER SERIES 2010,105
Copenhagen Masters 2010,YONEX All England Open Badminton Championships 2012,14
PERODUA Malaysia Masters 2018,DAIHATSU Indonesia Masters 2018,163
Yonex Denmark Open 2013,Yonex French Open 2013,162
Yonex Denmark Open 2013,BWF World Superseries Finals 2013,34
41st Yonex Polish Open 2015,YONEX Polish Open 2016,50
Li Ning Singapore Open 2013,Djarum Indonesia Open 2013,175
BWF Superseries Finals 2012,YONEX Denmark Open 2012,29
Yonex Sunrise India Open 2012,YONEX All England Open Badminton Championships 2012,147
Yonex Sunrise India Open 2012,YONEX-SUNRISE India Open,98
Yonex Sunrise India Open 2012,Yonex - Sunrise Syed Modi Memorial India Open Grand Prix Gold,79
DANISA Denmark Open 2018,YONEX French Open 2018,201
YONEX Denmark Open 2012,Yonex French Badminton Open 2012,172
Badminton Asia Championships 2013,27th SEA Games 2013,24
Lingshui China Masters 2018,Lingshui China Masters 2019,60
YONEX-SUNRISE India Open,INDIA GRAND PRIX GOLD 2010,8
Chinese Taipei Grand Prix,Macau Open,93
Swiss Open 2015,Bitburger Badminton Open 2014,101
YONEX All England Open Badminton Championships 2012,YONEX BWF World Championships 2011,194
YONEX All England Open Badminton Championships 2012,DJARUM INDONESIA OPEN SUPER SERIES 2010,94
YONEX All England Open Badminton Championships 2012,Li Ning BWF World Superseries Finals 2011,40
YONEX All England Open Badminton Championships 2012,Yonex Copenhagen Masters 2011,15
Gwangju VICTOR Korea Masters 2017,JEJU VICTOR 2016 Korea Masters Championships,83
SKYCITY New Zealand Open 2017,TUI MEDICAL Waikato International 2017,68
Jeonju Victor Korea Grand Prix 2014,Jeonju Victor Korea Masters,103
Jeonju Victor Korea Grand Prix 2014,Korea Grand Prix Gold,76
DJARUM INDONESIA OPEN SUPER SERIES 2010,LI-NING SINGAPORE OPEN SUPER SERIES 2010,169
LI-NING SINGAPORE OPEN SUPER SERIES 2010,VICTOR- BWF Superseries Finals 2010,31
Yonex German Open 2010,YONEX BWF World Championships 2011,82
Kumpoo Macau Open Badminton Grand Prix Gold 2013,Yonex - Sunrise Vietnam Open 2013,86
Kumpoo Macau Open Badminton Grand Prix Gold 2013,China International Challenge 2014,40
Austrian International Challenge 2014,Austrian International Challenge 2013,74
Austrian International Challenge 2014,Austrian Open 2015,73
Austrian International Challenge 2014,Victor Slovak Open 2013,40
White Nights 2015,White Nights 2014,53
SCG Thailand Open 2013,Djarum Indonesia Open 2013,117
SCG Thailand Open 2013,Yonex Chinese Taipei Open 2013,100
SCG Thailand Open 2013,Yonex Australian Badminton Open 2013,70
Babolat Bulgarian International 2012,Bulgarian International 2013,58
SkyCity New Zealand Open 2014,Yonex Australian Badminton Open 2013,50
SkyCity New Zealand Open 2014,SOTX Auckland International 2012,27
Yonex - Sunrise Vietnam Open 2013,Ciputra Hanoi Vietnam International Challenge 2013,64
Bitburger Open GPG 2013,Bitburger Badminton Open Grand Prix Gold 2012,107
Scottish International 2012,Yonex Welsh International 2012,123
YONEX German Open 2013,11th World University Championship 2010,13
Yonex Belgian International 2012,Yonex Belgian International 2013,129
Yonex Belgian International 2012,Swedish International Stockholm 2013,101
Yonex Belgian International 2012,Thwack Czech International 2012,84
Yonex Belgian International 2012,Yonex Dutch International 2013,80
Yonex Belgian International 2012,Yonex Dutch Open 2012,78
Yonex Belgian International 2012,Swiss International 2012,64
French International 2013,French International 2014,84
Yonex Dutch Open 2013,London Grand Prix Gold 2013,71
VICTOR Denmark Masters 2021(New dates),56 Portuguese International Championships 2021 (New dates),81
SaarLorLux Open 2020,Spain Masters 2021 (New Dates),67
YONEX-SUNRISE India Open 2022,Syed Modi India International 2022,110
YONEX-SUNRISE India Open 2022,India Chattisgarh International Challenge 2022,74
YONEX SUNRISE Hong Kong Open,TOTAL BWF World Championships 2017,117
YONEX SUNRISE Hong Kong Open,2016 Macau Open,99
YONEX Dutch Open 2021,YONEX Belgian International 2021(New dates),95
YONEX Dutch Open 2021,YONEX Dutch Open 2022,84
Yonex Sunrise India Open 2013,Yonex- Sunrise India Open,123
Yonex Sunrise India Open 2013,Shaheed Dr. K.L. Garg - Syed Modi International India GPG 2012,88
TOTAL BWF World Championships 2017,YONEX German Open 2017,151
Shaheed Dr. K.L. Garg - Syed Modi International India GPG 2012,TATA Open India International Challenge 2012,131
Shaheed Dr. K.L. Garg - Syed Modi International India GPG 2012,India Grand Prix Gold 2014,96
Shaheed Dr. K.L. Garg - Syed Modi International India GPG 2012,Bahrain International Challenge 2013,30
YONEX Belgian International 2021(New dates),Orleans Masters 2022,83
YONEX Belgian International 2021(New dates),LI-NING Czech Open 2021 (New Dates),82
YONEX Belgian International 2021(New dates),56 Portuguese International Championships 2021 (New dates),80
Azerbaijan International 2019,The 28th Iran Fajr International Challenge 2019,46
Dubai International Challenge 2019,Bahrain International Series 2019,34
Djarum Indonesia Open 2013,OUE Singapore Open,135
Djarum Indonesia Open 2013,INDONESIA OPEN GRAND PRIX GOLD BADMINTON 2012,99
78th Senior National Badminton Championships-2013 at New Delhi.,Syed Modi International Badminton Championships 2017,73
78th Senior National Badminton Championships-2013 at New Delhi.,SUSHANT CHIPALKATTI MEMORIAL INDIA JUNIOR INTERNATIONAL BADMINTON CHAMPIONSHIP-2011,27
78th Senior National Badminton Championships-2013 at New Delhi.,SUSHANT CHIPALKATTI MEMORIAL INDIA JUNIOR INTERNATIONAL BADMINTON CHAMPIONSHIP 2012,22
78th Senior National Badminton Championships-2013 at New Delhi.,Gautam Thakkar Memorial All India Junior Masters Prize Money Tournament - 2011 - MUMBAI,18
Macau Open,YONEX-SUNRISE Hong Kong Open,99
Macau Open,Bonny China Masters,50
YONEX-SUNRISE Hong Kong Open,Dong Feng Citroen Badminton Asia Championships 2016,128
India Grand Prix Gold 2014,TATA Open India International Challenge 2013,85
Austrian International Challenge 2010,Austrian International Challenge 2011,80
Austrian International Challenge 2010,34th Yonex Polish International Championships 2010,44
Yonex Dutch Open,Yonex Belgian International 2015,91
Yonex Dutch Open,Swiss International 2015,65
Yonex Dutch Open,Babolat Kharkiv International 2015,39
TOYOTA Thailand Open 2019,DAIHATSU YONEX Japan Open 2019,182
TOYOTA Thailand Open 2019,30th SEA GAMES 2019 (Individual Event),40
Yonex Sunrise Vietnam Open GP 2012,YONEX-SUNRISE MALAYSIA OPEN GRAND PRIX GOLD 2010,40
YONEX BWF World Championships 2011,YONEX BWF World Championships 2010,185
Irish International 2012,Carlton Irish Open 2013,100
Irish International 2012,Irish Future Series 2012,41
XXVI Spanish Open 2013,Spanish Open 2014,66
SWISS SUPER SERIES 2010,ALL ENGLAND SUPER SERIES 2010,96
Yonex Belgian International 2013,Carlton Irish Open 2013,103
Yonex Belgian International 2013,French International 2014,84
Yonex Belgian International 2013,Bulgarian International 2013,65
Yonex Belgian International 2013,Forza Denmark International 2013,65
Yonex Belgian International 2013,Babolat Kharkov International 2013,62
Victor Dutch International 2014,French International 2014,67
Victor Dutch International 2014,16th Victor Dutch International 2015,61
YONEX BWF World Championships 2010,ALL ENGLAND SUPER SERIES 2010,159
French International 2014,Orleans International 2015,89
Spanish Open 2014,XXVIII Spanish International 2015,93
Austrian International Challenge 2013,Austrian International Challenge 2011,58
Austrian International Challenge 2013,FORZA Slovenia International 2013,57
Austrian International Challenge 2013,Victor Croatian International 2013,41
Thwack Czech International 2012,Yonex Czech International 2013,71
OUE Singapore Open,Yonex- Sunrise India Open,124
Badmintology 9.5 - Baddi Royale Grand Prix 2018,Badmintology 9.4 - Smash Fighter Open 2018,90
Badmintology 9.5 - Baddi Royale Grand Prix 2018,Badmintology 9.1 - Master Smash Open 2017,80
Badmintology 9.5 - Baddi Royale Grand Prix 2018,Badmintology 10.1 - Power of Ten Open 2018,74
Badmintology 9.5 - Baddi Royale Grand Prix 2018,Badmintology 10.5 - Baddi Royale Endgame 2019,73
Badmintology 9.5 - Baddi Royale Grand Prix 2018,Badmintology 10.2 - Winter Fiesta Open 2019,50
Badmintology 9.5 - Baddi Royale Grand Prix 2018,Badmintology Roller Coaster Open 2011,19
Badmintology 9.5 - Baddi Royale Grand Prix 2018,2018 VRC Jack Underhill,13
SBCYonexCup2,YonexCup07-31-21,49
SBCYonexCup2,NWBA Yonex Cup 2022,39
2024 White Rock Badminton Tournament,White Rock Badminton Tournament,81
2024 White Rock Badminton Tournament,VICTOR Easter Open 2024,65
2nd Annual WCBF Canada Chinese Cup 2013,2014 Jack Underhill Open,13
III Jamaica International 2017,IV Jamaica International 2018,20
Orleans International 2016,YONEX Polish Open 2016,94
Orleans International 2016,Yonex Belgian International 2015,73
Orleans International 2016,Finnish Open 2016,71
65th Yonex DaveFreeman Classic Open - 2023,64th Yonex Dave Freeman Classic Open - 2022,85
65th Yonex DaveFreeman Classic Open - 2023,2022 California State Games,72
65th Yonex DaveFreeman Classic Open - 2023,Arizona Championships 2023,15
Finnish Open 2016,Finnish Open 2017,63
Finnish Open 2016,Finnish International 2015,50
Scottish Open,FZ Forza Irish Open 2016,98
RIAAN Yonex New Jersey OPEN 2022,2023 RIAAN New Jersey Badminton Open,67
RIAAN Yonex New Jersey OPEN 2022,The winner badminton tournament,50
RIAAN Yonex New Jersey OPEN 2022,2021 IBC Summer Challenge,39
2022 Yonex Frisco Open,2023 Yonex Frisco Open Championships,123
2022 Yonex Frisco Open,2022 Puccini Texas Championship @ DFW Badminton Center,87
2022 Yonex Frisco Open,2019 Yonex Frisco Dallas Open,68
Drive Badminton Centre 2023 Easter Open,VICTOR Easter Open 2024,67
LI-NING Czech Open 2017,FZ FORZA Prague Open 2016,93
LI-NING Czech Open 2017,2018 European Championships,91
LI-NING Czech Open 2017,LI NING Czech Open 2018,88
LI-NING Czech Open 2017,42nd YONEX Hungarian International 2017,73
LI-NING Czech Open 2017,YONEX Italian International 2017,68
LI-NING Czech Open 2017,KaBaL International Karviná 2018,58
2014 Jack Underhill Open,2012 CHINESE CUP,16
2014 Jack Underhill Open,1st Annual Chinese Cup Jr Tournament 2013,10
Badmintology 9.1 - Master Smash Open 2017,Badmintology 9.2 - Omnismash Open 2018,72
Badmintology 9.1 - Master Smash Open 2017,Badmintology 8.4 - Comet Punch Open 2017,71
Badmintology 9.1 - Master Smash Open 2017,Badmintology 8.5 - Baddi Royale Charge Open 2017,66
64th Yonex Dave Freeman Classic Open - 2022,63rd YONEX Dave Freeman Open - 2020,67
FZ Forza Prague Open 2015,Yonex Belgian International 2015,97
FZ Forza Prague Open 2015,Austrian Open 2015,69
VICTOR Easter Open 2024,Badmintology 12.3 - POCOmon GO Open 2023 presented by GOSEN,62
VICTOR Easter Open 2024,Yonex C1 New Year's Tournament 2024,31
VICTOR Easter Open 2024,2024 Husky Open,13
VICTOR Easter Open 2024,2017-18 Shuttlesport Junior B Curcuit - Tournament #2A,7
NWBA Yonex Cup 2022,NWBA Yonex Cup 2024,59
Korea Grand Prix Gold,Korea Grand Prix Gold 2012,71
Li-Ning Maldives International Badminton Challenge 2013,TATA Open India International Challenge 2013,50
Li-Ning Maldives International Badminton Challenge 2013,Maldives International Badminton Challenge 2012,24
2013 OUA Badminton Championships,2012-13 Ryerson Invitational #1,47
2013 OUA Badminton Championships,2012-13 Ryerson Invitational #2,47
2013 OUA Badminton Championships,OUA Badminton Championships 2011,34
2013 OUA Badminton Championships,2011-12 Ryerson Invitational #1,33
JEJU VICTOR 2016 Korea Masters Championships,Jeonju Victor Korea Masters,86
Argentina International 2012,ARGENTINA INTERNACIONAL 2013,19
Argentina International 2012,Venezuela Open Internacional 2012,17
Swiss International 2012,Swiss International 2013,58
Carlton Irish Open 2013,Yonex Welsh International 2013,105
Carlton Irish Open 2013,Irish Future Series 2013,39
Kawasaki - Tran Local Foods Vietnam International Series 2015,Kawasaki - Biere Larue Vietnam International Series 2014,43
Swiss International 2015,Swiss International 2016,44
Altai Holding- Apacs International Series 2015,Mongolia International Series 2017,15
BCA Indonesia Open,XIAMENAIR Australian Badminton Open,111
VICTOR Korea Open 2013,Badminton Asia Championships 2014,55
Yonex Italian International 2015,YONEX Italian International 2016,84
Yonex Italian International 2015,XIV Italian International 2014,66
Bitburger Badminton Open,YONEX German Open 2017,124
Mersin Turkey International 2015,I.B.B. Turkey International 2016,74
Mersin Turkey International 2015,Turkey Junior 2014,51
YONEX German Open 2017,YONEX Swiss Open 2017,130
YONEX German Open 2017,Bitburger Badminton Open 2017,108
YONEX German Open 2017,14th World University Championships. Individual,24
Bulgarian International 2013,Turkey International 2013,56
Bulgarian International 2013,Wilson Hellas International 2014,49
Bulgarian International 2013,Hellas International 2013,34
White Nights 2014,Babolat Kharkov International 2013,69
White Nights 2014,White Nights 2013,61
White Nights 2014,Ukraine Junior International 2013,19
Yonex Belgian International 2015,XXVIII Spanish International 2015,91
40th Yonex Polish Open 2014,Polish Open 2013,72
40th Yonex Polish Open 2014,Yonex Czech International 2013,66
40th Yonex Polish Open 2014,Yonex Estonian International 2014,63
40th Yonex Polish Open 2014,Polish International 2013,56
XXVIII Spanish International 2015,Swedish Masters 2016,73
XXVIII Spanish International 2015,50th Portuguese International 2015,64
Swedish International Stockholm 2013,Caperio Swedish Masters 2014,100
Swedish International Stockholm 2013,Finnish Open 2015,71
Babolat Kharkov International 2013,Babolat Kharkov International 2012,61
Babolat Kharkov International 2013,Russia Open 2013,39
Polish Open 2013,Polish Open 2012,59
Yonex Czech International 2013,38th Yonex Hungarian International 2013,66
Finnish Open 2013,Finnish Open 2014,70
VICTOR China Open 2019,Fuzhou China Open 2019,199
VICTOR China Open 2019,Korea Open 2019,194
VICTOR China Open 2019,DAIHATSU YONEX Japan Open 2019,192
VICTOR China Open 2019,YONEX All England Open 2020,184
VICTOR China Open 2019,HSBC BWF World Tour Finals 2019,63
YONEX All England Open 2018,YONEX German Open 2018,158
Badminton Asia Championships 2018,Asian Games 2018 ( Individual Event),108
BLIBLI Indonesia Open 2019,DAIHATSU YONEX Japan Open 2019,195
YONEX-SUNRISE Hong Kong Open 2019,Fuzhou China Open 2019,176
YONEX All England Open Badminton Championships 2019,DAIHATSU Indonesia Masters 2019,170
YONEX All England Open Badminton Championships 2019,HSBC BWF World Tour Finals 2018,46
YONEX All England Open 2020,DAIHATSU Indonesia Masters 2020,191
DAIHATSU Indonesia Masters 2019,PERODUA Malaysia Masters 2019,171
Bahrain International Challenge 2015,Victor- Rayan Sports Bahrain International Series 2015,48
DM2009-2010,DM2011,80
DM2011,Forza Denmark International 2013,28
2017 Bay State Games,2016 Bay State Games,50
2023 RIAAN New Jersey Badminton Open,IBC Open Super Series 2022,56
2023 RIAAN New Jersey Badminton Open,Club 28 Philadelphia Open - 15K Cash prize,49
2023 RIAAN New Jersey Badminton Open,2023 IBC Spring Challenge,48
2023 RIAAN New Jersey Badminton Open,NJBC March Madness 2024,42
2023 RIAAN New Jersey Badminton Open,PKUAANGY BADMINTON,7
Badminton Asia Senior Open 2023 (Badminton Asia Members Only),ElPozo BWF World Senior Badminton Championships 2021,20
SJSU Winter Smashoff 2017,2017 Bay Badminton Championships,61
SGVBC Summer Smash 2016,2016 LABC Summer Bash,113
SGVBC Summer Smash 2016,21 Jump Smash Charity Tournament,52
SGVBC Summer Smash 2016,2017 Winter Smash Tournament,25
2015 LABC Summer Bash,2015 LABC Thanksgiving Tournament,69
2015 LABC Summer Bash,UCLA Bruin Open 2015,57
2015 LABC Summer Bash,BCC Open 2015,45
QwQ ULTIMATE Badminton Kup - Patch 2.0,QwQ's ULTIMATE Badminton Kup 3.0 - UwU Series,147
QwQ ULTIMATE Badminton Kup - Patch 2.0,QwQ's ULTIMATE Badminton Tournament,106
QwQ ULTIMATE Badminton Kup - Patch 2.0,SGVBC Summer Smash 2023,86
QwQ ULTIMATE Badminton Kup - Patch 2.0,Lunar Festival Tournament 2022,79
QwQ ULTIMATE Badminton Kup - Patch 2.0,2023 YONEX SGVBC SOCAL CLOSED REGIONAL CHAMPIONSHIPS,66
63rd YONEX Dave Freeman Open - 2020,California State Games (CalState) 2019,49
MBBC USA International 2016,V Internacional Mexicano 2014,14
PBCA KALAYAAN CUP 2015,PBCA KALAYAAN CUP 2016,100
PBCA KALAYAAN CUP 2015,2014 KALAYAAN CUP - Sponsored by Badminton Depot,88
PBCA KALAYAAN CUP 2015,2017 PBCA Kalayaan Cup,87
PBCA KALAYAAN CUP 2015,SMASH C! A FUNDRAISING TOURNAMENT,46
PBCA KALAYAAN CUP 2015,PBCA Autumn Mix,41
PBCA KALAYAAN CUP 2015,2016 PBLV Badminton Open,39
PBCA KALAYAAN CUP 2015,2016 PBCA MASTERS TOURNAMENT,38
PBCA KALAYAAN CUP 2015,PBCA OKTOBERFEST 2015,35
PBCA KALAYAAN CUP 2015,Serve 2 Serve 2015,31
PBCA KALAYAAN CUP 2015,PBCA MASTERS TOURNEY 2016,24
PBCA KALAYAAN CUP 2015,PBCA 2015 MASTERS BADMINTON CLASSIC,24
PBCA KALAYAAN CUP 2015,PBCA Oktoberfest 2016,20
PBCA KALAYAAN CUP 2015,2014 PBCA Autumn Singles Tournament,14
SGVBC Spring Swing 2014,Eye Level 2014,23
LABC Thanksgiving Tournament,2016 LABC Summer Bash,83
SGVBC Summer Smash 2010,3rd So-Cal High School Age Badminton Championship,13
SGVBC Summer Smash 2010,Almont League Championships 2010,10
Lunar Festival Tournament 2022,Little Saigon Tet Tournament 2022,69
Lunar Festival Tournament 2022,BCC Open 2022,27
DAIHATSU Indonesia Masters 2020,PERODUA Malaysia Masters 2020,217
Asian Games 2018 ( Individual Event),YONEX SUNRISE Pakistan International Series 2019,16
Osaka International Challenge 2017,Osaka International Challenge 2018,62
Jeonju Victor Korea Masters,Korea Junior Open Badminton Championships 2012,35
2018 Long Island Open,2019 New York City Open,30
Russian Open Grand Prix 2014,Russia Open 2013,38
Russian Open Grand Prix 2014,RUSSIAN GRAND PRIX 2010,23
YONEX Polish Open 2017,Orléans International 2017,70
Ciputra Hanoi - Yonex Sunrise Vietnam International Challenge 2019,YONEX Osaka International Challenge 2019,92
Ciputra Hanoi - Yonex Sunrise Vietnam International Challenge 2019,Lingshui China Masters 2019,76
Ciputra Hanoi - Yonex Sunrise Vietnam International Challenge 2019,CIPUTRA HANOI - YONEX SUNRISE Vietnam International Challenge 2018,66
Ciputra Hanoi - Yonex Sunrise Vietnam International Challenge 2019,BEER LAO International Series 2019,53
BCC Spring Classic 2016,BCC OPEN 2016,66
BCC Spring Classic 2016,BCC Winter Challenge 2016,40
YONEX-SUNRISE Vietnam Open 2022,KB FINANCIAL GROUP Indonesia Masters 2022,52
SEA Games 2021 ( Individual Event),Badminton Asia Championships 2022,43
SEA Games 2021 ( Individual Event),SEA Games 2023 ( Individual Events),38
Orléans International 2017,Orleans Masters 2018,79
Badminton Asia Championships 2022,KHILADIX.COM Dubai Badminton Asia Championships 2023 powered by FLOKI,139
TOYOTA Gazoo Racing Thailand International Series 2023,XPORA Indonesia International Challenge 2023,52
2019 JE Wilson International Series,Lagos International Badminton Classics 2019,42
Austrian Open 2020,Austrian Open 2019,83
YONEX North Harbour International 2019,YONEX North Harbour International 2018,45
TotalEnergies BWF World Championships 2021,2021 European Championships,110
BCC Autumn Games 2016,BCC OPEN 2016,52
Swedish Open 2018,RSL Swedish Open 2019,93
Swedish Open 2018,Swedish International 2017,84
Swedish Open 2018,Norwegian International 2017,71
Swedish Open 2018,19th VICTOR Dutch International 2018,60
Swedish Open 2018,Iceland International 2018,45
Swedish Open 2018,Danish Junior Cup 2015,28
RSL Kharkiv International 2018,FZ FORZA Kharkiv International 2017,76
RSL Kharkiv International 2018,VICTOR Ukraine Open 2022,35
XXIX Spanish International,Spanish International 2017,63
FZ FORZA Kharkiv International 2017,Ukraine Junior International 2016,18
Finnish Open 2014,Finnish Open 2015,72
Iceland International 2018,Iceland International 2017,44
Iceland International 2018,Iceland International 2019,42
Iceland International 2016,Iceland International 2015,48
Slovenia International 2015,FZ Forza Slovenia International 2014,65
Slovenia International 2015,"Multi Alarm kupa A,C, 20141116",3
Yonex Welsh International 2012,25th Li-Ning Winter Sun Cyprus International 2013,11
2018 Colorado Open Badminton Championships,BBC Annual Tournament 2018,34
BBC Annual Tournament 2018,Rocky Mountain State Games 2018,30
BBC Annual Tournament 2018,2017 Fort Collins Badminton Open,29
Rocky Mountain State Games 2022,BBC Annual Tournament 2022,34
Rocky Mountain State Games 2022,Pikes Peak Open 2022,30
Rocky Mountain State Games 2022,2022 Fort Collins Badminton Open,29
2018 Fort Collins Badminton Open,2019 Fort Collins Badminton Open,31
2018 Fort Collins Badminton Open,Pikes Peak Open 2017,29
2018 Fort Collins Badminton Open,Rocky Mountain State Games 2018,29
Kumamoto Masters Japan 2023,LI-NING China Masters 2023,171
YONEX German Open 2023,TotalEnergies BWF World Championships 2023,154
TOYOTA GAZOO RACING Thailand Open 2023,PERODUA Malaysia Masters 2023 presented by DAIHATSU,190
TOYOTA GAZOO RACING Thailand Open 2023,PRINCESS SIRIVANNAVARI Thailand Masters 2023,136
YONEX French Open 2024,YONEX All England Open Badminton Championships 2024,219
YONEX French Open 2024,HSBC BWF World Tour Finals 2023,63
VICTOR China Open 2023,VICTOR Denmark Open 2023,200
VICTOR China Open 2023,PETRONAS Malaysia Open 2024,194
VICTOR China Open 2023,LI-NING China Masters 2023,191
VICTOR China Open 2023,VICTOR Hong Kong Open 2023,173
Syed Modi India International 2023,YONEX Swiss Open 2024,86
YONEX French Open 2021,VICTOR Denmark Open 2021,180
YONEX French Open 2021,HYLO Open 2021 (formerly SaarLorLux Open),149
YONEX SUNRISE India Open 2023,PETRONAS Malaysia Open 2023,219
YONEX SUNRISE India Open 2023,YONEX All England Open Badminton Championships 2023,200
DAIHATSU Indonesia Masters 2024,YONEX SUNRISE India Open 2024,159
DAIHATSU Indonesia Masters 2024,PRINCESS SIRIVANNAVARI Thailand Masters 2024,136
Denmark Open 2022 presented by VICTOR,YONEX French Open 2022,223
Korea Open 2023,DAIHATSU Japan Open 2023,159
